gpt-5.4,gpt-5.4-mini
"Source memory requires the recovery of contextual details associated with past events and has been consistently linked to activity in anterior prefrontal regions, yet the precise spatiotemporal dynamics of frontopolar cortex involvement remain unclear. In the present study, we examined how frontopolar cortex supports source memory by combining high-density electrophysiological recording with source-localized analyses during a recognition task that dissociated item familiarity from retrieval of contextual information. Participants encoded trial-unique stimuli together with task-relevant contextual features and later made item-recognition and source-judgment responses while neural activity was measured at high temporal resolution. Source-correct trials elicited greater frontopolar activity than item-only recognition, beginning in the early post-retrieval interval and extending into later decision-related stages. This effect was not unitary: temporally resolved analyses revealed an initial frontopolar response associated with successful recovery of source information, followed by a sustained pattern linked to evaluation and monitoring of retrieved content. Spatial analyses further indicated functional heterogeneity within frontopolar cortex, with medial and lateral subregions showing partially dissociable contributions across time. Importantly, frontopolar dynamics predicted both source-memory accuracy and response confidence, above and beyond general task difficulty and reaction time","Speech production requires continuous monitoring of internal plans and external feedback, yet the neural mechanisms linking moment-to-moment vigilance to performance remain poorly understood. Here we investigated whether spontaneous fluctuations in vigilance are associated with activity in the locus coeruleus, the brain’s principal source of norepinephrine, during overt speech production. Using concurrent pupillometry and high-resolution functional MRI, participants completed a paced picture-naming task interleaved with variable-demand control conditions while vigilance was indexed by trial-by-trial behavioral variability and pupil dynamics. We found that lapses in vigilance were accompanied by reduced locus coeruleus BOLD signal and diminished pupil-linked arousal, particularly during speech initiation and error-prone trials. Conversely, higher vigilance predicted stronger locus coeruleus engagement, greater coupling between locus coeruleus activity and frontoparietal control regions, and more stable articulation timing. Mediation analyses suggested that locus coeruleus activity partially accounted for the relationship between vigilance fluctuations and speech production efficiency. These findings indicate that the locus coeruleus supports adaptive regulation of speech by tracking momentary changes in vigilance and modulating cognitive control during language output."
"Attention control depends on coordinated thalamocortical circuitry, yet the extent to which genetic factors shape the structure of the lateral geniculate nucleus (LGN) and its contribution to attentional function remains unclear. In this study, we examined whether individual differences in LGN morphology are heritable and whether genetic influences on LGN structure are associated with variation in attention control. Structural magnetic resonance imaging and behavioral measures of selective and sustained attention were obtained from a genetically informative sample of monozygotic and dizygotic twins. LGN volume was quantified bilaterally using high-resolution anatomical imaging, and biometric modeling was used to estimate additive genetic and environmental contributions to inter-individual variation. We further tested phenotypic and genetic associations between LGN structure and performance on attention tasks indexing distractor suppression, response consistency, and executive control. Results indicated that LGN volume showed moderate heritability, with significant genetic contributions to both left and right LGN structure. Larger LGN volume was associated with better attention control, particularly reduced susceptibility to visual distraction and more stable performance over time. Multivariate genetic analyses suggested that a portion of the covariance between LGN morphology and attentional performance was attributable to shared genetic influences, whereas nonshared environmental factors","Motor learning depends not only on stimulus-locked processing but also on ongoing neural states that shape how new information is encoded and consolidated. Here we investigated whether pre-stimulus high-gamma power predicts individual differences in motor learning performance. Participants completed a visuomotor adaptation task while neural activity was recorded with high-temporal-resolution electrophysiology. Trial-by-trial analyses focused on pre-stimulus high-gamma activity in sensorimotor regions and its relationship to subsequent adaptation rate, error reduction, and retention. We found that greater pre-stimulus high-gamma power was associated with faster early learning and more efficient error correction, whereas lower pre-stimulus power predicted slower adaptation and greater variability in performance. This relationship remained significant after controlling for baseline movement kinematics, reaction time, and ongoing lower-frequency activity, suggesting that high-gamma power captured a distinct preparatory state relevant to learning. Source-localized analyses indicated that effects were strongest over premotor and primary motor cortices, consistent with a role for anticipatory sensorimotor readiness in shaping plasticity. These findings suggest that pre-stimulus high-gamma activity indexes a neural state that facilitates motor learning and may serve as a biomarker of learning capacity. More broadly,"
"The basal forebrain is a major neuromodulatory hub implicated in attention, arousal, and memory, yet its contribution to sustained object recognition remains poorly understood. Here, we examined the temporal dynamics of basal forebrain activation during prolonged visual object recognition using high-resolution functional neuroimaging combined with trial-wise behavioral measures. Participants performed a continuous recognition task requiring the discrimination of repeatedly presented and novel objects across extended task epochs, enabling dissociation of early detection, sustained perceptual engagement, and recognition-related decision processes. Basal forebrain activity showed a rapid increase following object onset, followed by a sustained elevation throughout periods of continued recognition demand. This response profile was stronger for correctly recognized objects than for misses and scaled with behavioral indices of recognition accuracy and response stability over time. Functional coupling analyses further revealed increased coordination between the basal forebrain and ventral visual cortex, medial temporal regions, and frontoparietal control areas during sustained recognition, suggesting that basal forebrain recruitment supports the maintenance of perceptual representations under continuous task demands. Notably, activation dynamics varied across time-on-task, with early enhancement followed by partial attenuation, consistent with adaptive modulation rather than a fixed arousal signal. Together, these findings identify the basal forebrain as a","Accurate estimation of time duration is a core component of human cognition, yet its neural implementation remains incompletely understood, particularly in naturalistic and movement-tolerant settings. Here, we present a multimodal imaging framework for investigating duration estimation by combining two complementary functional near-infrared spectroscopy (fNIRS) modalities to capture both cortical hemodynamic responses and task-related physiological dynamics during temporal judgments. Participants completed a duration estimation task requiring discrimination and reproduction of short intervals while cortical activity was recorded over frontal and parietal regions. The combined fNIRS approach revealed reliable task-evoked changes in oxygenated and deoxygenated hemoglobin, with strongest effects observed in prefrontal areas associated with attentional allocation, working memory, and decision formation. Trial-by-trial analyses further indicated that neural responses tracked subjective duration estimates, suggesting that cortical activation scaled with perceived time rather than objective interval length alone. By integrating two fNIRS-derived signals within a single experimental framework, this study demonstrates the feasibility of multimodal optical imaging for probing the neural basis of timing in ecologically valid contexts. These findings advance our understanding of duration estimation as a distributed cognitive process and highlight the value of combined fNIRS methodologies"
"Self-referential processing is typically associated with distributed cortical midline networks, yet the contribution of subcortical structures to hierarchical self-related evaluation remains poorly understood. Here, we investigated whether the habenula supports graded stages of self-referential processing, from basic self-relevance detection to higher-order evaluative integration. Using high-resolution functional neuroimaging during a trait-judgment task that parametrically varied self-relatedness and reflective depth, we examined activity and effective connectivity of the habenula in healthy adults. Behavioral results showed faster and more consistent responses for highly self-relevant judgments, particularly under deeper reflective demands. Neurally, the habenula exhibited increased responses to self-referential relative to non-self conditions, with activity scaling as a function of processing level. Connectivity analyses further revealed a hierarchical pattern in which habenular coupling with anterior medial prefrontal and posterior cingulate cortices increased during abstract self-evaluation, whereas coupling with salience- and valuation-related regions was strongest during initial self-relevance appraisal. These effects were accompanied by individual differences linking stronger habenular sensitivity to greater self-focused attention and negative affective bias. Together, the findings identify the habenula as a key subcortical node in the","The orbitofrontal cortex (OFC) undergoes prolonged maturation and is implicated in affective valuation, decision-making, and cognitive control, yet its microstructural trajectory across the lifespan remains incompletely characterized. Here, we examined age-related variation in OFC microstructure across childhood, adulthood, and older age using multimodal neuroimaging measures sensitive to cortical tissue properties. We tested whether OFC microstructure follows a nonlinear developmental pattern and whether regional subfields show differential vulnerability to aging. Across the lifespan, OFC microstructural indices exhibited pronounced age dependence, with progressive refinement through development, relative stability in midlife, and evidence of decline in later adulthood. These effects were not uniform across the OFC, with medial and lateral subregions showing distinct trajectories consistent with their divergent cytoarchitectonic organization and functional roles. Microstructural variation was associated with performance on tasks indexing reward-based decision-making and behavioral flexibility, suggesting functional relevance for age-related changes in OFC tissue properties. Together, these findings indicate that the OFC is characterized by extended and regionally specific microstructural remodeling across the lifespan, providing a potential neurobiological substrate for changes in socioemotional and decision-making abilities from childhood through old age."
"Deductive reasoning depends on coordinated activity across frontoparietal control systems, yet the contribution of noradrenergic neuromodulation to this process remains poorly understood. In this pharmacological fMRI study, we tested whether acute manipulation of central noradrenaline alters behavioral performance and neural recruitment during deductive inference. In a double-blind, placebo-controlled, within-subject crossover design, healthy adults completed syllogistic and relational reasoning tasks following administration of a noradrenergic agent and placebo on separate sessions. Behavioral indices of accuracy and response time were analyzed alongside whole-brain and region-of-interest BOLD responses during premise integration and conclusion evaluation. Relative to placebo, noradrenergic challenge selectively modulated reasoning-related activity within dorsolateral prefrontal cortex, anterior cingulate cortex, inferior parietal lobule, and locus coeruleus-linked brainstem regions, with accompanying changes in functional coupling across frontoparietal networks. At the behavioral level, noradrenergic manipulation produced condition-dependent effects, enhancing performance under higher attentional and working-memory demands while exerting minimal influence on simpler trials. Neural effects were strongest during valid inference generation and conflict-sensitive evaluation, suggesting that noradrenaline primarily","Moral judgment depends on the integration of affective and deliberative processes, yet the neurochemical mechanisms that shape this balance remain poorly understood. We used pharmacological functional MRI to test whether enhancing GABAergic signaling alters neural responses during moral evaluation. In a double-blind, placebo-controlled, within-subject design, healthy adults received a single dose of a GABA-modulating drug or placebo before completing a moral judgment task during fMRI. Participants evaluated scenarios varying in intentional harm, personal involvement, and emotional salience while behavioral choices and reaction times were recorded. Relative to placebo, GABA enhancement selectively reduced activity in regions implicated in affective salience and conflict processing, including the amygdala, anterior insula, and dorsal anterior cingulate cortex, while increasing engagement of prefrontal regions associated with controlled appraisal. These neural effects were accompanied by a modest shift toward more utilitarian judgments and slower responses for personally salient dilemmas. Connectivity analyses further indicated weakened coupling between limbic and prefrontal systems under drug relative to placebo. Together, these findings suggest that GABAergic modulation biases moral judgment by attenuating affective reactivity and altering the balance between emotional and controlled components of decision making. More broadly, the results demonstrate"
"Transcranial direct current stimulation (tDCS) has emerged as a promising tool for modulating neural excitability and enhancing experience-dependent plasticity, yet its effects on subcortical structures remain poorly understood. In this study, we investigated whether repeated tDCS paired with behavioral training induces neuroplastic changes in the brainstem and whether such changes are associated with improvements in task performance. Healthy adult participants underwent a multi-session training protocol combined with either active or sham tDCS, while electrophysiological and neuroimaging measures were used to assess brainstem function before and after intervention. Relative to sham, active tDCS produced significant alterations in brainstem response amplitude and latency, accompanied by enhanced functional connectivity between brainstem nuclei and cortical sensorimotor regions. These neural changes were paralleled by measurable gains in behavioral accuracy and response speed, suggesting that stimulation-dependent plasticity extended beyond cortical targets to influence lower neural relays. Importantly, the magnitude of brainstem adaptation predicted individual differences in learning outcomes, indicating a mechanistic link between subcortical plasticity and training efficacy. Together, these findings provide evidence that tDCS training can drive plastic reorganization within the human brainstem and highlight the brainstem as a previously","Object recognition relies on rapid neural mechanisms that transform visual input into meaningful representations, yet the temporal dynamics of these processes remain incompletely understood. In the present study, we examined the electrophysiological correlates of object recognition with a particular focus on the N200 component, a negative-going event-related potential associated with perceptual discrimination and categorical processing. Participants viewed a series of object images varying in familiarity and visual complexity while electroencephalographic activity was recorded. We analyzed N200 amplitude and latency as a function of recognition accuracy, stimulus category, and perceptual demand. Results revealed that correctly recognized objects elicited a larger and earlier N200 response than unrecognized or ambiguously perceived stimuli, suggesting enhanced neural efficiency during successful object identification. Moreover, N200 amplitude increased with greater visual similarity among objects, indicating sensitivity to fine-grained discriminative processing. These findings support the view that the N200 reflects an early stage of object recognition in which perceptual features are mapped onto stored representations. More broadly, the present data contribute to a temporally precise account of how the brain supports object recognition and highlight the utility of the N200 as a marker of perceptual and categorical analysis."
"Emotion regulation is central to psychological resilience in very late life, yet its neurophysiological correlates in centenarians remain largely unknown. The present study examined whether the late positive potential (LPP), an event-related potential sensitive to emotional processing and regulatory control, indexes emotion regulation in adults aged 100 years and older. A sample of centenarians and a comparison group of younger-old adults completed an emotion regulation task while electroencephalography was recorded. Participants viewed negative and neutral images under passive viewing and regulation instructions, and LPP amplitude was quantified over centroparietal sites during early and late time windows. Behavioral ratings of emotional intensity and self-reported regulation success were also obtained.

Negative images elicited larger LPP amplitudes than neutral images across groups, confirming preserved sensitivity to emotional salience. Critically, regulation instructions were associated with reduced LPP amplitude to negative stimuli, indicating successful modulation of emotional responding. In centenarians, this reduction was attenuated but still detectable, suggesting that core regulatory processes are maintained despite advanced age, albeit with reduced neural flexibility. Moreover, smaller regulation-related decreases in LPP amplitude were associated with poorer subjective regulation outcomes and lower cognitive functioning, linking electrophysiological modulation to real-world regulatory","The supplementary motor area (SMA) is increasingly recognized as a hub supporting not only motor preparation but also higher-order cognitive control. However, it remains unclear whether intensive cognitive training can induce measurable functional reorganization within the SMA and alter its interactions with broader control networks. Here, we investigated changes in SMA function following a structured training program designed to strengthen executive processing. Using multimodal neuroimaging and behavioral assessment before and after training, we examined task-evoked activity, resting-state connectivity, and performance-related adaptations. Training was associated with improved task performance and reduced reaction time variability, accompanied by altered SMA recruitment during executive demand. At rest, the SMA showed strengthened coupling with frontoparietal and cingulo-opercular regions and reduced connectivity with default-mode areas, suggesting a shift toward a more efficient control-oriented network configuration. These changes were most pronounced in participants showing the largest behavioral gains, indicating a close relationship between neural plasticity and cognitive improvement. Together, our findings demonstrate that the SMA exhibits experience-dependent functional reorganization after cognitive training, supporting its role as a flexible node that can be tuned by sustained mental practice."
"Successful reading comprehension requires that newly encountered words and concepts be integrated with prior contextual information, yet the neural mechanisms supporting this interaction between encoding and retrieval remain incompletely understood. In the present study, we investigated whether the anterior temporal lobe (ATL) supports reading comprehension through shared neural representations engaged during the encoding of narrative information and its later retrieval during ongoing text processing. Participants read short passages while undergoing functional neuroimaging, allowing us to compare activity patterns associated with the initial encoding of critical semantic information and its subsequent reactivation when that information became relevant for interpreting later sentences. Using multivoxel pattern analyses and representational similarity approaches, we observed significant encoding-retrieval overlap in the left ATL, indicating that neural patterns established during earlier reading episodes were reinstated when readers integrated later input with prior context. This overlap was stronger for passages that placed greater demands on semantic integration and predicted individual differences in comprehension accuracy. Functional connectivity analyses further suggested that the ATL interacts with a broader language-memory network, including inferior frontal and medial temporal regions, during successful contextual updating. Together, these findings identify the anterior temporal lobe as a key substrate for linking past and present meaning during reading and provide evidence that comprehension depends, in part, on retrieval-like reinstatement of","Value-based decision making depends on the rapid integration of reward information, choice conflict, and action selection, yet the spatiotemporal neural dynamics supporting these processes remain incompletely characterized. Here, we used event-related potentials (ERPs) to examine how the brain encodes subjective value and decision difficulty across time and scalp topography during a controlled choice task. Participants made repeated choices between options varying in reward magnitude and probability while electroencephalographic activity was recorded. Behavioral analyses showed that choice preferences were systematically shaped by expected value, with slower and less consistent responses for high-conflict decisions. ERP analyses revealed a sequence of temporally distinct components associated with decision processing: an early posterior negativity reflecting rapid evaluation of option salience, a frontocentral modulation linked to conflict monitoring and value comparison, and a later centroparietal positivity tracking choice commitment and outcome anticipation. Source-informed analyses suggested that these effects engaged a distributed network including medial prefrontal, posterior parietal, and anterior cingulate regions. Critically, the amplitude and latency of these components varied parametrically with subjective value and choice difficulty, indicating that value computations are implemented through dynamic interactions between evaluative and control processes. These findings provide a temporally resolved account of value"
"The claustrum has been proposed to coordinate distributed cortical activity, yet its contribution to offline memory processing during sleep remains poorly understood. Here, we tested whether population activity patterns expressed in the claustrum during waking re-emerge in a sleep stage-specific manner. Using chronic large-scale electrophysiological recordings in freely behaving rodents, we tracked claustral ensemble dynamics across wakefulness, non-rapid eye movement (NREM) sleep, and rapid eye movement (REM) sleep before and after experience in a novel sensory-guided task. Dimensionality reduction and template-matching analyses revealed robust reactivation of waking claustrum patterns during post-task sleep, with reactivation strength significantly elevated relative to pre-task sleep. This effect was strongly enriched during NREM sleep, particularly around sharp wave-ripple-associated network events, and was temporally coordinated with spindle-range cortical activity. In contrast, REM sleep showed weaker but more temporally compressed reinstatement of selected task-related patterns. Reactivation magnitude predicted subsequent behavioral performance and was most pronounced for ensembles linked to salient stimulus-action associations. These findings identify the claustrum as a participant in sleep-dependent replay and suggest that distinct sleep stages support complementary forms of claustral reactivation, with NREM","Traumatic brain injury (TBI) is frequently followed by neuroinflammatory cascades that may disrupt language networks, yet the functional consequences for Wernicke’s area remain poorly characterized. In this study, we examined the relationship between inflammatory burden and language-related neural function in patients with moderate to severe TBI, with a focus on temporal-parietal regions supporting receptive language processing. Participants underwent structural and functional neuroimaging alongside blood-based and, when available, cerebrospinal fluid markers of neuroinflammation, including cytokines and glial activation indices. Wernicke’s area activity was assessed during auditory sentence comprehension and semantic decision tasks, and performance was related to injury severity, lesion extent, and inflammatory measures. Elevated neuroinflammatory markers were associated with reduced task-evoked activation in the left posterior superior temporal cortex and diminished functional connectivity between Wernicke’s area and distributed language-control regions. These neural alterations were accompanied by slower comprehension speed and lower accuracy on language tasks, independent of overall injury burden and lesion volume. Mediation analyses suggested that inflammatory activity partially accounted for the association between TBI severity and receptive language impairment. The findings indicate that post-traumatic neuroinflammation may contribute to dysfunction within Wernicke’s area and"
"Cognitive flexibility—the ability to adapt behavior in response to changing task demands—depends on dynamic coordination across distributed neural systems, yet the oscillatory mechanisms supporting this process remain incompletely understood. In the present study, we investigated whether low-gamma-band activity is associated with flexible cognitive control during task switching. Electroencephalographic signals were recorded while participants performed a cued switching paradigm requiring alternation between competing stimulus-response rules. Time-frequency analyses focused on low-gamma oscillations (approximately 30–50 Hz) during cue processing and response selection, and their relation to behavioral indices of switch cost and performance accuracy. We observed significantly increased low-gamma power over frontoparietal regions during switch relative to repeat trials, particularly in the period preceding correct responses. Functional coupling in the low-gamma band was also enhanced between frontal and posterior electrode sites during high-demand switching, suggesting transient network integration in support of rule updating and attentional reconfiguration. Moreover, greater low-gamma power was associated with reduced reaction-time switch costs and higher accuracy, indicating that this activity tracks more efficient flexible control. These findings identify low-gamma oscillations as a key neural signature of cognitive flexibility and support the view that fast rhythmic coordination within frontopariet","Fear learning diminishes with repeated exposure to threat-predictive cues, yet the neuroanatomical traits that predict how rapidly this decline occurs remain poorly understood. Here we investigated whether cortical folding of the secondary somatosensory cortex (S2) serves as a structural marker of fear learning decline in healthy adults. Participants completed a differential fear-conditioning paradigm followed by extinction while skin conductance responses and subjective threat expectancy were recorded. Individual differences in S2 gyrification were quantified from high-resolution structural MRI using local gyrification indices, and related to trial-by-trial reductions in conditioned responding. Greater gyrification of bilateral S2 was associated with faster decline in fear responses across extinction, independent of age, sex, overall cortical thickness, and global brain morphology. This relationship was specific to fear learning decline and was not explained by baseline reactivity, general anxiety symptoms, or performance on a control perceptual task. Mediation analyses further suggested that S2 gyrification predicted extinction-related reductions in autonomic arousal via more efficient updating of threat expectancy. These findings identify S2 cortical folding as a stable neuroanatomical feature linked to adaptive attenuation of learned fear, supporting a role for somatosensory cortical architecture in the regulation of threat learning."
"The pulvinar is increasingly recognized as a key regulator of cortico-thalamic communication, yet its contribution to somatosensory decision-making remains poorly understood. Here, we investigated effective connectivity within pulvinar-centered networks during tactile discrimination, asking how task demands modulate directed interactions among thalamic and cortical regions. Healthy adult participants performed a vibrotactile discrimination task while undergoing functional neuroimaging, and regional time series were extracted from the pulvinar, primary and secondary somatosensory cortex, posterior parietal cortex, and prefrontal regions implicated in perceptual judgment. Effective connectivity was estimated using dynamic causal modeling and compared across models differing in the direction and task dependence of pulvinar influences.

Behavioral performance confirmed reliable discrimination of tactile stimuli, with higher difficulty associated with slower and less accurate responses. Neural analyses revealed that tactile discrimination engaged a distributed network including bilateral somatosensory, parietal, and frontal areas, with significant task-related recruitment of the pulvinar. Model comparison favored architectures in which the pulvinar exerted context-dependent modulatory influences on cortico-cortical communication rather than serving as a passive relay. In particular, discrimination demands increased directed coupling from the pulvinar to secondary somatosensory","Working memory capacity is a core cognitive function that supports reasoning, learning, and goal-directed behavior, yet it varies markedly across individuals and is vulnerable to stress and fatigue. Here, we investigated whether neurofeedback targeting prefrontal cortex activity can enhance working memory capacity in healthy adults. Participants completed a multi-session training protocol in which real-time functional neuroimaging feedback was used to reinforce regulation of dorsolateral prefrontal cortex activation during working memory engagement. Pre- and post-training assessments included standardized working memory tasks, behavioral measures of attentional control, and resting-state and task-based neural indices. Compared with a sham-feedback control group, participants receiving contingent neurofeedback showed significant improvements in working memory performance, particularly on tasks with high memory load, along with faster response times and reduced variability. These behavioral gains were accompanied by increased task-evoked prefrontal activation and strengthened functional coupling within frontoparietal control networks. Individual differences in self-regulation success during training predicted the magnitude of post-training improvement, suggesting that learning to modulate prefrontal activity was a key mechanism of change. These findings indicate that neurofeedback can produce durable enhancements in working memory capacity by training the neural systems that support executive control, and they highlight the potential"
"Glutamate is the principal excitatory neurotransmitter in the central nervous system and plays a central role in synaptic plasticity, sensory processing, and memory formation. The present study investigated whether acute glutamate depletion alters memory consolidation and neural responses in the lateral geniculate nucleus (LGN), a thalamic relay critical for early visual processing. In a randomized, double-blind, placebo-controlled design, healthy adult participants underwent a dietary amino acid manipulation intended to transiently reduce central glutamatergic availability. Participants completed a visual encoding task followed by delayed recognition testing, while functional magnetic resonance imaging was used to assess LGN activation during stimulus processing. Relative to placebo, glutamate depletion was associated with significantly reduced delayed recognition accuracy, with the strongest effects observed for high-interference visual stimuli, indicating impaired memory consolidation. Neuroimaging analyses further revealed attenuated LGN responses during visual stimulus presentation under depletion, alongside reduced functional coupling between the LGN, hippocampus, and occipital cortex. Moreover, individual differences in the magnitude of LGN attenuation predicted the degree of subsequent memory impairment. These findings suggest that transient reductions in glutamatergic signaling disrupt both early thalamic visual processing and the downstream consolidation of percept","Temporal order judgment, the ability to determine the sequence of events in time, depends on prefrontal mechanisms that may be altered by aging. In the present study, we examined age-related differences in inferior frontal gyrus (IFG) function during temporal order judgment using functional neuroimaging in healthy younger and older adults. Participants completed a sequence discrimination task in which they judged the relative order of briefly presented stimuli while blood-oxygen-level-dependent responses were measured. Behavioral performance showed the expected age-related decline, with older adults exhibiting reduced accuracy and slower responses, particularly under conditions requiring greater temporal discrimination. Neuroimaging results revealed robust IFG engagement in both groups, but older adults demonstrated altered activation patterns characterized by greater bilateral recruitment and reduced lateralization relative to younger adults. Within the older group, increased IFG activity was associated with better task performance, suggesting a compensatory role for prefrontal recruitment. In contrast, younger adults showed more focal left-lateralized IFG activation that scaled with task demand. These findings indicate that aging is accompanied by functional reorganization of IFG activity during temporal order judgment, potentially reflecting compensatory mechanisms that support performance in the face of declining temporal processing efficiency. Together, the results highlight the importance of prefr"
"The subthalamic nucleus (STN) is increasingly recognized as a critical node in cortico-basal ganglia circuits supporting executive control, yet it remains unclear whether functionally distinct STN subfields are differentially engaged during executive function in humans. Here, we used high-resolution functional magnetic resonance imaging (fMRI) to examine subfield-specific activity within the human STN during performance of executive control tasks designed to probe response inhibition, conflict monitoring, and task switching. Healthy adult participants completed a battery of event-related paradigms while undergoing ultra-high-resolution fMRI optimized for subcortical signal detection, and the STN was segmented into putative motor, associative, and limbic subfields using connectivity-informed anatomical criteria. We observed robust task-evoked responses in the associative STN during high-conflict decisions, successful stopping, and switch trials, with weaker and more selective engagement of the motor subfield during response implementation and inhibition. In contrast, the limbic subfield showed comparatively limited modulation across tasks. Multivoxel pattern and functional connectivity analyses further revealed that associative STN activity covaried with dorsal anterior cingulate, pre-supplementary motor area, and dorsolateral prefrontal cortex, consistent","Delay discounting, the tendency to prefer smaller immediate rewards over larger delayed ones, is a core feature of impulsive choice and has been linked to distributed prefrontal and striatal circuitry. However, the contribution of early sensory cortices to intertemporal valuation remains poorly understood. Here, we used functional magnetic resonance imaging to examine whether primary visual cortex (V1) exhibits hemispheric asymmetry during delay discounting and whether such asymmetry relates to individual differences in choice behavior. Participants completed an intertemporal choice task in which they repeatedly selected between immediate and delayed monetary rewards while BOLD activity was measured. We observed robust V1 engagement during decision making, with a significant lateralized pattern characterized by greater activation in the left than the right hemisphere during high-discounting choices. This asymmetry was most pronounced on trials involving shorter delays and larger subjective value differences, suggesting sensitivity to reward immediacy and choice conflict. Across participants, stronger left-dominant V1 activation predicted steeper discounting rates and higher self-reported impulsivity, independent of age, sex, and task performance. These findings indicate that primary visual cortex is not merely a passive recipient of sensory input during economic choice, but may participate in value-related processing"
"Verbal ability is a core component of human cognition, yet its neuroanatomical correlates in young adulthood remain incompletely understood. In the present study, we examined whether individual differences in cortical thickness of the striatum are associated with verbal ability in a sample of healthy young adults. High-resolution structural magnetic resonance imaging was used to quantify regional thickness measures, and standardized assessments of verbal ability were administered to characterize performance across participants. Correlational and regression-based analyses were conducted to test the relationship between striatal thickness and verbal scores while accounting for relevant demographic and global brain variables.

We found that greater cortical thickness of the striatum was significantly associated with higher verbal ability, with the strongest effects observed in left-lateralized regions implicated in language-related cortico-subcortical circuits. These associations remained significant after controlling for age, sex, total brain volume, and nonverbal cognitive performance, suggesting a specific link between striatal morphology and verbal function. Exploratory analyses further indicated that the relationship was more pronounced for measures of vocabulary and verbal reasoning than for broader indices of general cognition.

These findings identify striatal structural variation as a meaningful neural correlate of verbal ability in young adults and extend prevailing models of language beyond the","Subjective biological motion perception is a compelling case for studying how the brain transforms sparse visual input into rich social and bodily experience. Here we investigated the neural correlates of subjective biological motion perception experience by combining trial-by-trial perceptual reports with fMRI while participants viewed point-light displays that varied in motion coherence and ambiguity. Using multivariate and univariate analyses, we examined whether activity in classic biological motion regions and broader perceptual networks tracked the strength and phenomenology of the experience beyond stimulus properties alone. Subjective reports of perceived animacy and motion vividness were associated with increased responses in the posterior superior temporal sulcus, extrastriate body area, and inferior parietal cortex, with additional modulation in visual motion-sensitive regions. Critically, trial-wise fluctuations in reported experience predicted neural activity even when objective coherence was held constant, suggesting that these regions reflect the internal construction of biological motion percepts rather than sensory evidence alone. Functional connectivity analyses further indicated enhanced coupling between occipito-temporal and frontoparietal systems during trials with stronger subjective experience, consistent with top-down integration of ambiguous motion signals. These findings identify a distributed network supporting the subjective experience of biological motion and highlight the role of perceptual inference in shaping social visual"
"Speech production relies on the rapid coordination of distributed cortical networks, yet the oscillatory dynamics that support this process remain incompletely understood. In the present study, we investigated whether theta-band activity (4–8 Hz) contributes to the planning and execution of spoken responses. Using time-resolved electrophysiological recordings acquired during a cued speech production task, we examined changes in theta power and phase synchrony across frontal, temporal, and sensorimotor regions during speech preparation and articulation. We observed a robust increase in theta-band power preceding vocal onset, particularly over fronto-central sites, accompanied by enhanced functional coupling between left inferior frontal and superior temporal regions. Theta activity was strongest during conditions imposing greater lexical selection and phonological encoding demands, and trial-by-trial analyses revealed that stronger pre-response theta power predicted faster and more accurate speech initiation. These findings suggest that theta-band oscillations support the temporal organization of speech production by coordinating cognitive control, linguistic retrieval, and motor planning processes. More broadly, the results identify theta dynamics as a key neural mechanism linking higher-order language operations with the sensorimotor implementation of spoken output.","Cognitive flexibility depends on the ability to rapidly reconfigure perceptual and decision-making processes in response to changing task demands, yet the neuroanatomical features that support this capacity remain incompletely understood. Here we examined whether individual differences in structural-functional coupling within the lateral occipital complex (LOC), a region central to high-level visual object processing, are associated with cognitive flexibility. Using multimodal neuroimaging, we quantified cortical microstructure and morphometry alongside task-evoked functional responses in the LOC, and derived a coupling index capturing the correspondence between structural organization and functional activation profiles. We then related this measure to performance on independent indices of cognitive flexibility, including task-switching and set-shifting behavior. Stronger structural-functional coupling in the LOC was associated with faster switch costs, greater accuracy under changing task contingencies, and more efficient adaptation following feedback. This relationship remained significant after controlling for age, sex, global brain measures, and general cognitive ability, suggesting a specific contribution of LOC organization to flexible cognition. Mediation analyses further indicated that coupling partially accounted for the link between visual processing efficiency and flexible task performance. These findings suggest that the structural architecture of the LOC constrains its functional responsiveness in ways that support adaptive behavior, highlighting"
